real_interest_rate,lending_interest_rate(%)_lag1,inflation_rate(%)_lag1,exchange_rate_change_lag1,export_import_ratio,gross_capital_formation_growth(%)_lag1,fdi_net_flows(US$)_lag1,state_revenues_percentage(%)_lag1,gdp_growth_lag2(%),gdp_growth_lag1(%),gdp_growth(%)
3.468744541353697,21.5041666666667,2.9463015658592826,0.007567327699317454,1.3739558324569956,24.3695584375575,19.00846741441004,3.1737803739530226,6.165775225605496,9.88007752166418,7.92715682412874
9.238259079181399,21.5041666666667,2.5851974049616047,0.007567327699317454,1.0815594615351136,12.3981033054196,18.705859693704824,3.276174446835396,9.88007752166418,7.92715682412874,2.24644534036375
12.058741317455258,21.5041666666667,2.3461641169377754,0.04588587399371931,0.8510046742381229,5.64782433363027,19.23161096461314,3.113067355426885,7.92715682412874,2.24644534036375,4.1929673681999
9.704428459001498,21.5041666666667,2.5494247181902594,0.31824622464439245,0.9629198826471271,627.499564037888,19.492264363657213,3.0931682989456264,2.24644534036375,4.1929673681999,6.97552780884124
11.049127443525498,21.5041666666667,2.438429740006205,0.12073285805806588,1.1982544457714126,52.5689545815395,19.218187944341057,3.1138837448469534,4.1929673681999,6.97552780884124,2.46214356422551
16.77963148123272,21.5041666666667,1.7447613558269823,0.07926842475886924,1.1354763249173159,46.48689443673,19.552082858669273,3.1126716797965917,6.97552780884124,2.46214356422551,5.87504510359864
15.68150089934186,21.5041666666667,1.9202502704579651,0.14397567921489302,0.9991063024690792,-3.99564155383828,19.36847014676186,3.081661797716318,2.46214356422551,5.87504510359864,4.92592736496611
12.38801260063831,21.6666666666667,2.33006932402613,0.2481819571208364,1.0973036006839374,-18.8967936574171,19.76875389484946,3.037540116348708,5.87504510359864,4.92592736496611,5.7804984881177
14.05214328469093,22.0975,2.2022515559147227,0.02514334185859167,1.1273474922067026,-71.6213879931868,20.171618220396276,2.8876385851854915,4.92592736496611,5.7804984881177,7.45658692516847
15.283625867503059,21.6991666666667,2.0035779060610364,0.048829593948913314,1.1345212392373123,22.9520614679608,20.34054021727401,2.9124437036978335,5.7804984881177,7.45658692516847,7.24213163856464
13.00580243494365,20.825,2.1769308868613035,0.04028041589757394,1.0672105695394403,103.268736461493,20.812192047055724,3.0553354763310763,7.45658692516847,7.24213163856464,6.91198283591309
16.114265489863257,25.5333333333333,2.3436375739233917,0.05669879041473571,1.0703313155522955,-33.2020980204549,21.11665836449507,2.9779774921090683,7.24213163856464,6.91198283591309,6.49750651682714
16.50982327090653,24.0333333333333,2.1428282351591834,0.040004614100619715,1.1175330516482525,13.7443951286727,21.29819238668167,3.0198150954959133,6.91198283591309,6.49750651682714,6.49640812045304
10.914755774026602,20.5866666666667,2.367615139498239,0.02778060132898718,1.1256382123674777,38.4507623296129,21.41841102066803,2.894677091457607,6.49750651682714,6.49640812045304,7.53997109551439
9.228001708108572,17.76,2.2546543800391894,0.03467968918323611,1.0451694951966228,36.4000631567372,21.469479738917208,2.9525912787982143,6.49640812045304,7.53997109551439,8.22000739903493
9.43136366093674,18.8516666666667,2.3437561151471455,0.039854262530984334,0.9517384242329712,7.80078839855169,22.192521719010745,2.928088155546926,7.53997109551439,8.22000739903493,7.81818707670867
11.244219034866541,19.2175,2.1942513801107184,0.040820422435296544,0.9767157628611189,-52.0801324341708,22.54684691865887,2.8877859617810087,8.22000739903493,7.81818707670867,4.69987885390397
15.591348451127859,21.8175,1.977706605225167,0.21680823065020882,0.9902123331963005,-25.7726506180931,22.265922715903972,2.9516612012659516,7.81818707670867,4.69987885390397,-13.1267254923818
-26.2968746848859,32.1541666666667,4.085153139409832,1.2360064159093205,1.2256019189552276,-164.509353333391,21.571304997620917,2.860297040193861,4.69987885390397,-13.1267254923818,0.79112608199847
7.184667557110803,27.6625,3.06702135406884,-0.2427770483309295,1.294728728941106,85.7266702352875,20.87668727933786,2.947590815446724,-13.1267254923818,0.79112608199847,4.9200677470169
14.766379629433178,18.455,1.5451383751252072,0.06965124599600662,1.3453017200548332,49.33297830538,20.182069561054806,2.964207609216119,0.79112608199847,4.9200677470169,3.64346644721492
7.047383944911299,18.5475,2.5257379286722514,0.19751506867659618,1.2688811243403266,29.1054605130227,19.48745184277175,2.980552792301585,4.9200677470169,3.64346644721492,4.49947539085764
7.0448799661586,18.945,2.5572366162732814,-0.09711860064927505,1.238550241276395,-79.3543251237206,18.792834124488696,2.9147590258326153,3.64346644721492,4.49947539085764,4.78036912167654
10.177687436664359,16.935,2.0486359550550204,-0.08211733432723806,1.3171643929631827,435.615999731175,20.077945009952888,2.908182927887358,4.49947539085764,4.78036912167654,5.03087394501685
8.06010477533022,14.1241666666667,1.9550202247775013,0.04130719822596239,1.1696192488828516,-53.7167774612698,21.36305589541708,2.9634936210299094,4.78036912167654,5.03087394501685,5.69257130383384
3.5976331459986,14.0508333333333,2.4382691832931815,0.08220765212077412,1.1385864564840058,41.2265216843464,22.843880176644902,2.9816887784860397,5.03087394501685,5.69257130383384,5.50095178520348
2.8704956813206994,15.9791666666667,2.6467895718712726,-0.05784302149074159,1.2112332800860413,-17.6564840338398,22.315395102553772,2.999558779647133,5.69257130383384,5.50095178520348,6.34502222667214
7.45510578700665,13.8616666666667,2.0023662127672153,-0.002001787522781598,1.1591817582815005,-137.635083922357,22.658906290015512,3.017115042174166,5.50095178520348,6.34502222667214,6.01370360009123
3.3716670060850014,13.5983333333333,2.4182918704727885,0.05924913235427234,1.0366975434287893,-17.9395926934929,22.955262534584836,3.034368392703832,6.34502222667214,6.01370360009123,4.62887118256153
10.11192021541256,14.4983333333333,1.683879693624095,0.06881886866766682,1.1314156205279637,67.3893722391638,22.30787180886894,2.779331817788568,6.01370360009123,4.62887118256153,6.22385418062366
8.11746027650785,13.2516666666667,1.8138807120381197,-0.13361521120667044,1.084669557532833,-6.0630929781757,23.45059626823356,2.779331817788568,4.62887118256153,6.22385418062366,6.16978420771008
7.04728484220748,12.4033333333333,1.849406877834452,-0.03583636245314447,1.1037491409250435,7.8704586374094,23.746853434866374,2.779331817788568,6.22385418062366,6.16978420771008,6.03005065305615
7.5154857308057,11.795,1.6638340990156426,0.06790003155153693,0.9842271278722937,10.9812348559631,23.777303744783577,2.779331817788568,6.16978420771008,6.03005065305615,5.5572636889101
5.24500542099609,11.6575,2.003167032991895,0.10839075087043618,0.9680251505229689,2.84675099016738,23.870935300760305,2.779331817788568,6.03005065305615,5.5572636889101,5.006668425755
6.21007117603441,12.605,2.0007944712301136,0.1259336996422217,0.9693536274866081,5.65795232400761,23.946959320658134,2.779331817788568,5.5572636889101,5.006668425755,4.87632230022123
6.29937938803354,12.6625,1.9964838390708946,0.12085361721658776,1.0184198771167967,3.00234647066264,23.707893076120502,2.779331817788568,5.006668425755,4.87632230022123,5.03306918280177
8.36252880517879,11.8883333333333,1.5097953576252443,-0.006074400647864162,1.0412738132136607,4.98580582999408,22.236570253596874,2.779331817788568,4.87632230022123,5.03306918280177,5.06978590134916
7.264534756413811,11.0733333333333,1.5704472768102082,0.0054334608783019114,1.0520962438305614,5.69016067744666,23.74419356413024,2.779331817788568,5.03306918280177,5.06978590134916,5.17429153955024
7.338319107416741,10.5366666666667,1.4346910095983594,0.06201653355628414,0.951574975140734,8.52394066301368,23.662947520447574,2.779331817788568,5.06978590134916,5.17429153955024,5.01928768046282
7.335248723916691,10.3658333333333,1.3939114298091404,-0.006289866714225023,0.9766381536468355,2.35984713910671,23.94188369850533,2.779331817788568,5.17429153955024,5.01928768046282,-2.06551182934165
7.624331393958739,9.54416666666667,1.071527201232703,0.03025180225446909,1.1080596125989266,-6.89722578137714,23.67687723888813,2.779331817788568,5.01928768046282,-2.06551182934165,3.70288562827751
7.36242117016666,8.9225,0.9400380509210278,-0.01897296590161396,1.1398937968734193,4.07467247380472,23.77788382509874,2.779331817788568,-2.06551182934165,3.70288562827751,5.30719722664799
4.31053536285216,8.52,1.650477093699992,0.03716115051497379,1.168933974455858,4.02541488118247,23.93015125153995,2.779331817788568,3.70288562827751,5.30719722664799,5.04902331835997
